Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ProfileStatistics/ProfileStatistics.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FriendsStatus/FriendsStatus.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/profile.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/badges/loader.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ProfileCards/ProfileCard.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/studySession.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/logout/action.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/study/Study.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/login/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/session.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/store/profileInfo.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/validation/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/animated-logo.utils.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/config.utils.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/signup/action.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/study/Study.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/badges/loader.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/main.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/time/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/profileStatistics/randomColor.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/session.storage.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/badges/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/Login/Login.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/UserCard/UserCard.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ErrorBoundary/ErrorBoundary.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/screen.utils.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/create-account-interactive.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/requests.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/ForgotPassword.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/study/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/context/navbarContext.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/time/format.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/validation/emailValidation.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/list-sessions-interactive.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/feed.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/actions.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/action.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/home/loader.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/requests/requests.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/HomeHeader/HomeHeader.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/create-account.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/studySession.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/leaderboard/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/home/loader.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/friends.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/UserCard/UserCard.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/settings.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FriendRequest/FriendRequest.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ForgotPassword/ForgotPassword.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ProfileCards/ProfileCard.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/friends.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/store.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/logout/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/badges/Badges.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/routes.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/api.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/badges.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/profileStatistics/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/profileStatistics/randomColor.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/LeaderboardPage/LeaderboardPage.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/SetupStudySession/SetupStudySession.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/SetupStudySession/SetupStudySession.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/StudyTips/StudyTips.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/badges.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/friends.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/support/e2e.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/signup/action.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/study/action.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/profile/loader.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/leaderboard/Leaderboard.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/leaderboard/loader.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/context/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/LeaderboardPage/LeaderboardPage.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/Avatar/Avatar.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/profileStatistics/sortBadgesByDate.tsx,true,""
